RET_M1,CUSTOMER_ID,MES_BGI,MES_CLIENTE,YEAR_BGI,YEAR_CLIENTE,MES_COSECHA,YEAR_COSECHA,CLTE_COSECHA,ORD_ORDENES_TOTALES,ORD_ORDENES_COMPLETADAS,ORD_ORDENES_COMPLETADAS_A_TIEMPO,ORD_ORDENES_COMPLETADAS_CON_RETRASO,ORD_ORDENES_CANCELADAS,ORD_ORDENES_OTROS,MNT_TOTAL_GMV,MNT_TOTAL_DESCUENTO,MNT_TOTAL_COSTO_ENVIO,MNT_TOTAL_COSTO_SERVICIO,MNT_TOTAL_PROPINA,MNT_PROM_GMV,MNT_PROM_DESCUENTO,MNT_PROM_COSTO_ENVIO,MNT_PROM_PROM_SERVICIO,MNT_PROM_PROPINA,MDP_TOT_ORDENES_CASH,MDP_TOT_ORDENES_TDC,MDP_TOT_ORDENES_PAGO_DIGITAL,MDP_TOT_ORDENES_PAGO_DIGITAL_RAPPI,MDP_TOT_TARJETA_DEBITO,MDP_TOT_TDC_NACIONAL,MDP_TOT_TDC_INTERNACIONAL,EXP_TIEMPO_ESPERA_EFECTIVO_M,EXP_TIEMPO_ESPERA_PROMETIDO_M,EXP_KPI_TIEMPO_ESPERA,EXP_ORDEN_CON_RECLAMO,EXP_ORDEN_SIN_RECLAMO,EXP_ORDENES_WEB,EXP_ORDENES_ANDROID,EXP_ORDENES_IOS
0,1911372660,10,9,2021,2021,9,2021,1,1,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,126,NULL,0,1,0,0,1
0,191160634,11,10,2021,2021,10,2021,1,1,1,0,1,0,0,22150,0,6500,-4399,2000,22150,0,6500,-4399,2000,1,0,0,0,0,0,0,31,30,1.033333333,0,1,0,1,0
0,1911792124,11,10,2021,2021,10,2021,1,1,1,1,0,0,0,80884,0,10500,9505,2000,80884,0,10500,9505,2000,0,1,0,0,0,0,1,45,62,0.7258064516,0,1,1,0,0
0,1911985122,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,14658,0,5200,3310,2000,14658,0,5200,3310,2000,1,0,0,0,0,0,0,20,112,0.1785714286,0,1,0,0,1
0,1912097622,11,10,2021,2021,10,2021,1,1,1,0,1,0,0,38620,0,13000,5645,2000,38620,0,13000,5645,2000,0,1,0,0,0,0,1,73,36,2.027777778,0,1,0,1,0
0,1912237041,10,9,2021,2021,9,2021,1,1,1,1,0,0,0,28085,7500,7500,9690,2000,28085,7500,7500,9690,2000,1,0,0,0,0,0,0,50,146,0.3424657534,0,1,0,1,0
0,1912253485,11,10,2021,2021,10,2021,1,1,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,164,NULL,0,1,0,1,0
1,1912304638,11,10,2021,2021,10,2021,1,2,2,2,0,0,0,303823,3700,15000,877,4000,151911.5,1850,7500,438.5,2000,2,0,0,0,0,0,0,47,51,0.9215686275,1,1,0,2,0
0,1912393137,9,8,2021,2021,8,2021,1,8,1,1,0,7,0,211964,44500,8500,8855,3000,211964,44500,8500,8855,3000,0,1,0,0,0,0,1,132,145,0.7951807229,6,2,0,8,0
0,1912479051,9,8,2021,2021,8,2021,1,2,2,2,0,0,0,83367,38975,17000,21608,5000,41683.5,19487.5,8500,10804,2500,2,0,0,0,0,0,0,303,363,0.7975352113,0,2,0,2,0
0,1912501003,9,8,2021,2021,8,2021,1,2,2,2,0,0,0,96370,73200,17000,9270,0,48185,36600,8500,4635,0,2,0,0,0,0,0,0,25,115,0.2173913043,1,1,0,2,0
